I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.107,0.037,-0.07,,,,,,,,,
0.11,0.04,-0.07,,,,,,,,,
0.11,0.04,-0.07,,,,,,,,,
0.113,0.051,-0.062,,,,,,,,,
0.122,0.065,-0.057,,,,,,,,,
0.125,0.073,-0.051,,,,,,,,,
0.127,0.084,-0.044,,,,,,,,,
0.14,0.1,-0.04,,,,,,,,,
0.137,0.105,-0.032,,,,,,,,,
0.134,0.108,-0.027,,,,,,,,,
0.136,0.113,-0.023,,,,,,,,,
0.134,0.115,-0.019,,,,,,,,,
0.13,0.115,-0.015,,,,,,,,,
0.129,0.119,-0.011,,,,,,,,,
0.133,0.123,-0.01,,,,,,,,,
0.136,0.127,-0.009,,,,,,,,,
0.143,0.139,-0.004,,,,,,,,,
0.155,0.155,0.0,,,,,,,,,
0.152,0.151,0.0,,,,,,,,,
0.147,0.15,0.002,,,,,,,,,
0.141,0.148,0.008,,,,,,,,,
0.135,0.144,0.01,,,,,,,,,
0.135,0.145,0.01,,,,,,,,,
0.127,0.145,0.018,,,,,,,,,
0.12,0.142,0.022,,,,,,,,,
0.106,0.139,0.033,,,,,,,,,
0.094,0.14,0.046,,,,,,,,,
0.1,0.14,0.04,,,,,,,,,
0.101,0.136,0.035,,,,,,,,,
0.099,0.134,0.035,,,,,,,,,
0.102,0.136,0.034,,,,,,,,,
0.106,0.134,0.029,,,,,,,,,
0.105,0.13,0.025,,,,,,,,,
0.103,0.13,0.026,,,,,,,,,
0.117,0.131,0.014,,,,,,,,,
0.113,0.126,0.013,,,,,,,,,
0.091,0.119,0.028,,,,,,,,,
0.08,0.115,0.035,,,,,,,,,
0.064,0.107,0.043,,,,,,,,,
0.051,0.102,0.051,,,,,,,,,
0.037,0.096,0.059,,,,,,,,,
0.021,0.089,0.068,,,,,,,,,
0.01,0.085,0.075,,,,,,,,,
0.005,0.073,0.068,,,,,,,,,
0.005,0.063,0.059,,,,,,,,,
0.005,0.056,0.051,,,,,,,,,
0.005,0.048,0.043,,,,,,,,,
0.005,0.04,0.035,,,,,,,,,
0.005,0.032,0.027,,,,,,,,,
0.005,0.024,0.019,,,,,,,,,
0.003,0.016,0.013,,,,,,,,,
-0.001,0.008,0.009,,,,,,,,,
-0.005,0.0,0.005,,,,,,,,,
-0.009,-0.008,0.001,,,,,,,,,
-0.016,-0.016,0.0,,,,,,,,,
-0.022,-0.024,-0.001,,,,,,,,,
-0.026,-0.033,-0.006,,,,,,,,,
-0.03,-0.04,-0.01,,,,,,,,,
-0.026,-0.036,-0.01,,,,,,,,,
-0.022,-0.034,-0.013,,,,,,,,,
-0.018,-0.035,-0.017,,,,,,,,,
-0.014,-0.035,-0.021,,,,,,,,,
-0.015,-0.035,-0.02,,,,,,,,,
-0.026,-0.042,-0.015,,,,,,,,,
-0.004,-0.059,-0.055,,,,,,,,,
0.013,-0.065,-0.078,,,,,,,,,
0.002,-0.059,-0.062,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
-0.013,-0.06,-0.047,,,,,,,,,
-0.021,-0.06,-0.039,,,,,,,,,
-0.029,-0.06,-0.031,,,,,,,,,
-0.036,-0.06,-0.024,,,,,,,,,
-0.04,-0.06,-0.02,,,,,,,,,
-0.044,-0.06,-0.016,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.045,-0.057,-0.012,,,,,,,,,
-0.045,-0.054,-0.009,,,,,,,,,
-0.045,-0.055,-0.01,,,,,,,,,
-0.045,-0.055,-0.01,,,,,,,,,
-0.045,-0.055,-0.01,,,,,,,,,
-0.045,-0.055,-0.01,,,,,,,,,
-0.045,-0.055,-0.01,,,,,,,,,
-0.046,-0.055,-0.009,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.054,-0.055,-0.001,,,,,,,,,
-0.055,-0.055,0.0,,,,,,,,,
-0.055,-0.055,0.0,,,,,,,,,
-0.055,-0.055,0.0,,,,,,,,,
-0.055,-0.055,0.0,,,,,,,,,
-0.055,-0.055,0.0,,,,,,,,,
-0.056,-0.055,0.001,,,,,,,,,
-0.052,-0.055,-0.003,,,,,,,,,
-0.043,-0.055,-0.012,,,,,,,,,
-0.035,-0.055,-0.02,,,,,,,,,
-0.027,-0.055,-0.028,,,,,,,,,
-0.021,-0.055,-0.034,,,,,,,,,
-0.022,-0.055,-0.033,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.024,-0.055,-0.03,,,,,,,,,
-0.029,-0.056,-0.027,,,,,,,,,
-0.029,-0.053,-0.024,,,,,,,,,
-0.024,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.025,-0.05,-0.025,,,,,,,,,
-0.033,-0.05,-0.017,,,,,,,,,
-0.039,-0.05,-0.011,,,,,,,,,
-0.042,-0.05,-0.008,,,,,,,,,
-0.046,-0.05,-0.004,,,,,,,,,
-0.05,-0.05,0.0,,,,,,,,,
-0.054,-0.05,0.004,,,,,,,,,
-0.058,-0.05,0.008,,,,,,,,,
-0.063,-0.05,0.013,,,,,,,,,
-0.073,-0.05,0.023,,,,,,,,,
-0.08,-0.05,0.03,,,,,,,,,
-0.076,-0.05,0.026,,,,,,,,,
-0.072,-0.05,0.022,,,,,,,,,
-0.068,-0.05,0.018,,,,,,,,,
-0.064,-0.05,0.014,,,,,,,,,
-0.06,-0.05,0.01,,,,,,,,,
-0.06,-0.054,0.006,,,,,,,,,
-0.058,-0.055,0.002,,,,,,,,,
-0.051,-0.055,-0.004,,,,,,,,,
-0.043,-0.055,-0.012,,,,,,,,,
-0.035,-0.055,-0.02,,,,,,,,,
-0.027,-0.055,-0.028,,,,,,,,,
-0.021,-0.055,-0.034,,,,,,,,,
-0.022,-0.055,-0.033,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.029,-0.055,-0.026,,,,,,,,,
-0.03,-0.055,-0.025,,,,,,,,,
-0.031,-0.055,-0.023,,,,,,,,,
-0.036,-0.056,-0.019,,,,,,,,,
-0.04,-0.06,-0.02,,,,,,,,,
-0.04,-0.06,-0.021,,,,,,,,,
-0.043,-0.06,-0.017,,,,,,,,,
-0.045,-0.06,-0.015,,,,,,,,,
-0.046,-0.06,-0.014,,,,,,,,,
-0.05,-0.06,-0.01,,,,,,,,,
-0.05,-0.06,-0.01,,,,,,,,,
-0.053,-0.06,-0.007,,,,,,,,,
-0.054,-0.06,-0.006,,,,,,,,,
-0.057,-0.06,-0.003,,,,,,,,,
-0.055,-0.06,-0.005,,,,,,,,,
-0.009,-0.06,-0.051,,,,,,,,,
0.002,-0.06,-0.062,,,,,,,,,
-0.007,-0.06,-0.053,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
-0.008,-0.06,-0.052,,,,,,,,,
-0.011,-0.06,-0.049,,,,,,,,,
-0.01,-0.06,-0.05,,,,,,,,,
-0.01,-0.06,-0.05,,,,,,,,,
-0.01,-0.06,-0.05,,,,,,,,,
-0.013,-0.06,-0.047,,,,,,,,,
-0.015,-0.06,-0.044,,,,,,,,,
-0.015,-0.06,-0.045,,,,,,,,,
-0.015,-0.06,-0.045,,,,,,,,,
-0.012,-0.056,-0.045,,,,,,,,,
-0.006,-0.052,-0.046,,,,,,,,,
-0.022,-0.065,-0.043,,,,,,,,,
-0.042,-0.081,-0.04,,,,,,,,,
-0.035,-0.075,-0.04,,,,,,,,,
-0.034,-0.074,-0.04,,,,,,,,,
-0.035,-0.076,-0.041,,,,,,,,,
-0.035,-0.073,-0.038,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.032,-0.067,-0.035,,,,,,,,,
-0.03,-0.064,-0.035,,,,,,,,,
-0.03,-0.065,-0.036,,,,,,,,,
-0.025,-0.065,-0.04,,,,,,,,,
-0.021,-0.061,-0.04,,,,,,,,,
-0.02,-0.059,-0.039,,,,,,,,,
-0.019,-0.061,-0.042,,,,,,,,,
-0.014,-0.059,-0.045,,,,,,,,,
-0.01,-0.055,-0.045,,,,,,,,,
-0.01,-0.055,-0.045,,,,,,,,,
-0.011,-0.056,-0.045,,,,,,,,,
-0.008,-0.053,-0.045,,,,,,,,,
-0.005,-0.05,-0.045,,,,,,,,,
-0.005,-0.05,-0.045,,,,,,,,,
-0.005,-0.05,-0.045,,,,,,,,,
-0.002,-0.047,-0.045,,,,,,,,,
0.0,-0.045,-0.045,,,,,,,,,
0.0,-0.045,-0.045,,,,,,,,,
0.0,-0.045,-0.045,,,,,,,,,
-0.001,-0.046,-0.045,,,,,,,,,
0.005,-0.04,-0.045,,,,,,,,,
0.015,-0.031,-0.046,,,,,,,,,
0.02,-0.023,-0.044,,,,,,,,,
0.02,-0.015,-0.035,,,,,,,,,
0.024,-0.007,-0.031,,,,,,,,,
0.029,0.001,-0.028,,,,,,,,,
0.028,0.007,-0.021,,,,,,,,,
0.025,0.011,-0.014,,,,,,,,,
0.025,0.015,-0.01,,,,,,,,,
0.021,0.015,-0.006,,,,,,,,,
0.017,0.015,-0.002,,,,,,,,,
0.014,0.015,0.001,,,,,,,,,
0.016,0.015,-0.001,,,,,,,,,
0.015,0.015,0.0,,,,,,,,,
0.011,0.014,0.004,,,,,,,,,
0.046,0.02,-0.026,,,,,,,,,
0.069,0.029,-0.04,,,,,,,,,
0.058,0.037,-0.021,,,,,,,,,
0.055,0.045,-0.01,,,,,,,,,
0.051,0.053,0.002,,,,,,,,,
0.046,0.061,0.014,,,,,,,,,
0.045,0.07,0.026,,,,,,,,,
0.026,0.074,0.048,,,,,,,,,
-0.01,0.065,0.075,,,,,,,,,
-0.004,0.061,0.064,,,,,,,,,
0.005,0.057,0.053,,,,,,,,,
0.006,0.053,0.047,,,,,,,,,
0.012,0.049,0.037,,,,,,,,,
0.02,0.045,0.025,,,,,,,,,
0.025,0.042,0.017,,,,,,,,,
0.019,0.029,0.01,,,,,,,,,
0.014,0.013,-0.001,,,,,,,,,
0.014,0.002,-0.012,,,,,,,,,
0.01,-0.01,-0.02,,,,,,,,,
0.01,-0.022,-0.032,,,,,,,,,
0.007,-0.034,-0.041,,,,,,,,,
0.006,-0.045,-0.05,,,,,,,,,
0.012,-0.051,-0.063,,,,,,,,,
0.015,-0.055,-0.07,,,,,,,,,
0.003,-0.063,-0.066,,,,,,,,,
-0.003,-0.067,-0.064,,,,,,,,,
-0.01,-0.076,-0.066,,,,,,,,,
-0.023,-0.087,-0.064,,,,,,,,,
-0.03,-0.09,-0.06,,,,,,,,,
-0.034,-0.094,-0.06,,,,,,,,,
-0.041,-0.101,-0.06,,,,,,,,,
-0.048,-0.108,-0.06,,,,,,,,,
-0.05,-0.109,-0.059,,,,,,,,,
-0.05,-0.105,-0.055,,,,,,,,,
-0.05,-0.105,-0.055,,,,,,,,,
-0.049,-0.105,-0.056,,,,,,,,,
-0.052,-0.105,-0.053,,,,,,,,,
-0.055,-0.105,-0.05,,,,,,,,,
-0.055,-0.105,-0.05,,,,,,,,,
-0.055,-0.105,-0.05,,,,,,,,,
-0.052,-0.105,-0.053,,,,,,,,,
-0.063,-0.105,-0.042,,,,,,,,,
-0.057,-0.105,-0.048,,,,,,,,,
-0.015,-0.105,-0.09,,,,,,,,,
-0.017,-0.105,-0.088,,,,,,,,,
-0.024,-0.105,-0.081,,,,,,,,,
-0.027,-0.105,-0.078,,,,,,,,,
-0.03,-0.105,-0.075,,,,,,,,,
-0.03,-0.105,-0.075,,,,,,,,,
-0.034,-0.105,-0.071,,,,,,,,,
-0.039,-0.105,-0.066,,,,,,,,,
-0.04,-0.105,-0.065,,,,,,,,,
-0.041,-0.105,-0.064,,,,,,,,,
-0.045,-0.105,-0.06,,,,,,,,,
-0.049,-0.105,-0.056,,,,,,,,,
-0.054,-0.105,-0.051,,,,,,,,,
-0.035,-0.105,-0.069,,,,,,,,,
-0.014,-0.105,-0.091,,,,,,,,,
-0.035,-0.105,-0.07,,,,,,,,,
-0.056,-0.101,-0.046,,,,,,,,,
-0.037,-0.13,-0.093,,,,,,,,,
-0.039,-0.149,-0.109,,,,,,,,,
-0.052,-0.163,-0.111,,,,,,,,,
-0.02,-0.215,-0.195,,,,,,,,,
-0.015,-0.247,-0.233,,,,,,,,,
-0.012,-0.248,-0.235,,,,,,,,,
-0.011,-0.247,-0.236,,,,,,,,,
-0.008,-0.239,-0.232,,,,,,,,,
-0.005,-0.18,-0.175,,,,,,,,,
-0.03,-0.072,-0.042,,,,,,,,,
0.004,0.028,0.023,,,,,,,,,
0.056,0.145,0.089,,,,,,,,,
0.072,0.292,0.22,,,,,,,,,
0.085,0.42,0.335,,,,,,,,,
0.121,0.501,0.38,,,,,,,,,
0.146,0.586,0.439,,,,,,,,,
0.166,0.67,0.504,,,,,,,,,
0.182,0.761,0.579,,,,,,,,,
0.17,0.875,0.705,,,,,,,,,
0.134,0.976,0.842,,,,,,,,,
0.103,1.073,0.97,,,,,,,,,
0.059,1.129,1.07,,,,,,,,,
0.011,1.124,1.113,,,,,,,,,
-0.015,1.06,1.075,,,,,,,,,
-0.055,0.902,0.957,,,,,,,,,
-0.089,0.678,0.767,,,,,,,,,
-0.125,0.484,0.608,,,,,,,,,
-0.173,0.356,0.529,,,,,,,,,
-0.225,0.255,0.48,,,,,,,,,
-0.262,0.171,0.433,,,,,,,,,
-0.255,0.085,0.34,,,,,,,,,
-0.223,0.012,0.236,,,,,,,,,
-0.202,-0.044,0.158,,,,,,,,,
-0.195,-0.1,0.095,,,,,,,,,
-0.172,-0.141,0.031,,,,,,,,,
-0.149,-0.142,0.007,,,,,,,,,
-0.132,-0.13,0.002,,,,,,,,,
-0.116,-0.123,-0.007,,,,,,,,,
-0.1,-0.115,-0.015,,,,,,,,,
-0.08,-0.107,-0.027,,,,,,,,,
-0.063,-0.099,-0.036,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.035,-0.085,-0.05,,,,,,,,,
-0.045,-0.09,-0.045,,,,,,,,,
-0.049,-0.09,-0.041,,,,,,,,,
-0.053,-0.091,-0.038,,,,,,,,,
-0.056,-0.088,-0.032,,,,,,,,,
-0.054,-0.094,-0.041,,,,,,,,,
-0.045,-0.115,-0.07,,,,,,,,,
-0.036,-0.112,-0.076,,,,,,,,,
-0.034,-0.109,-0.075,,,,,,,,,
-0.035,-0.11,-0.075,,,,,,,,,
-0.035,-0.11,-0.075,,,,,,,,,
-0.035,-0.11,-0.075,,,,,,,,,
-0.035,-0.11,-0.075,,,,,,,,,
-0.035,-0.11,-0.075,,,,,,,,,
-0.036,-0.11,-0.075,,,,,,,,,
-0.033,-0.109,-0.076,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.105,-0.08,,,,,,,,,
-0.025,-0.106,-0.081,,,,,,,,,
-0.026,-0.103,-0.077,,,,,,,,,
-0.033,-0.1,-0.067,,,,,,,,,
-0.04,-0.1,-0.06,,,,,,,,,
-0.026,-0.1,-0.075,,,,,,,,,
-0.005,-0.1,-0.095,,,,,,,,,
0.0,-0.1,-0.1,,,,,,,,,
-0.006,-0.1,-0.094,,,,,,,,,
-0.005,-0.1,-0.095,,,,,,,,,
-0.005,-0.1,-0.095,,,,,,,,,
-0.006,-0.101,-0.095,,,,,,,,,
-0.003,-0.098,-0.095,,,,,,,,,
0.0,-0.095,-0.094,,,,,,,,,
-0.005,-0.095,-0.09,,,,,,,,,
-0.006,-0.095,-0.09,,,,,,,,,
-0.002,-0.092,-0.09,,,,,,,,,
0.001,-0.09,-0.09,,,,,,,,,
0.0,-0.09,-0.09,,,,,,,,,
0.0,-0.09,-0.09,,,,,,,,,
0.001,-0.09,-0.091,,,,,,,,,
-0.001,-0.087,-0.085,,,,,,,,,
0.022,-0.084,-0.106,,,,,,,,,
0.047,-0.085,-0.132,,,,,,,,,
0.035,-0.085,-0.12,,,,,,,,,
0.031,-0.081,-0.111,,,,,,,,,
0.025,-0.08,-0.104,,,,,,,,,
0.016,-0.08,-0.096,,,,,,,,,
0.008,-0.08,-0.088,,,,,,,,,
0.0,-0.08,-0.08,,,,,,,,,
0.0,-0.076,-0.076,,,,,,,,,
-0.003,-0.074,-0.072,,,,,,,,,
0.01,-0.076,-0.085,,,,,,,,,
0.027,-0.074,-0.101,,,,,,,,,
0.015,-0.07,-0.085,,,,,,,,,
-0.003,-0.07,-0.067,,,,,,,,,
0.034,-0.07,-0.104,,,,,,,,,
0.057,-0.07,-0.128,,,,,,,,,
0.043,-0.069,-0.112,,,,,,,,,
0.045,-0.065,-0.11,,,,,,,,,
0.037,-0.065,-0.102,,,,,,,,,
0.032,-0.065,-0.097,,,,,,,,,
0.026,-0.065,-0.092,,,,,,,,,
0.019,-0.064,-0.083,,,,,,,,,
0.02,-0.06,-0.08,,,,,,,,,
0.03,-0.06,-0.09,,,,,,,,,
0.052,-0.061,-0.112,,,,,,,,,
0.062,-0.058,-0.12,,,,,,,,,
0.059,-0.055,-0.114,,,,,,,,,
0.06,-0.055,-0.115,,,,,,,,,
0.06,-0.055,-0.115,,,,,,,,,
0.059,-0.056,-0.115,,,,,,,,,
0.062,-0.053,-0.115,,,,,,,,,
0.065,-0.05,-0.115,,,,,,,,,
0.065,-0.05,-0.115,,,,,,,,,
0.065,-0.05,-0.115,,,,,,,,,
0.062,-0.05,-0.112,,,,,,,,,
0.059,-0.05,-0.109,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.06,-0.051,-0.11,,,,,,,,,
0.06,-0.05,-0.11,,,,,,,,,
0.064,-0.038,-0.102,,,,,,,,,
0.068,-0.029,-0.097,,,,,,,,,
0.072,-0.019,-0.091,,,,,,,,,
0.076,-0.008,-0.084,,,,,,,,,
0.08,0.0,-0.08,,,,,,,,,
0.084,0.012,-0.072,,,,,,,,,
0.088,0.022,-0.066,,,,,,,,,
0.09,0.026,-0.065,,,,,,,,,
0.09,0.025,-0.065,,,,,,,,,
0.09,0.025,-0.065,,,,,,,,,
0.091,0.025,-0.066,,,,,,,,,
0.087,0.024,-0.063,,,,,,,,,
0.102,0.028,-0.073,,,,,,,,,
0.122,0.037,-0.085,,,,,,,,,
0.12,0.045,-0.075,,,,,,,,,
0.128,0.057,-0.071,,,,,,,,,
0.128,0.064,-0.064,,,,,,,,,
0.122,0.064,-0.058,,,,,,,,,
0.12,0.066,-0.053,,,,,,,,,
0.12,0.075,-0.045,,,,,,,,,
0.12,0.079,-0.041,,,,,,,,,
0.118,0.083,-0.035,,,,,,,,,
0.112,0.087,-0.025,,,,,,,,,
0.111,0.092,-0.019,,,,,,,,,
0.115,0.1,-0.015,,,,,,,,,
0.111,0.104,-0.007,,,,,,,,,
0.107,0.108,0.001,,,,,,,,,
0.102,0.11,0.008,,,,,,,,,
0.101,0.11,0.009,,,,,,,,,
0.105,0.11,0.005,,,,,,,,,
0.104,0.108,0.005,,,,,,,,,
0.117,0.122,0.005,,,,,,,,,
0.127,0.132,0.005,,,,,,,,,
0.124,0.129,0.005,,,,,,,,,
0.125,0.13,0.005,,,,,,,,,
0.126,0.13,0.005,,,,,,,,,
0.12,0.128,0.008,,,,,,,,,
0.127,0.137,0.01,,,,,,,,,
0.134,0.145,0.011,,,,,,,,,
0.12,0.135,0.015,,,,,,,,,
0.117,0.13,0.013,,,,,,,,,
0.1,0.128,0.028,,,,,,,,,
0.085,0.121,0.036,,,,,,,,,
0.085,0.113,0.028,,,,,,,,,
0.085,0.11,0.025,,,,,,,,,
0.082,0.107,0.025,,,,,,,,,
0.074,0.096,0.023,,,,,,,,,
0.068,0.085,0.017,,,,,,,,,
0.063,0.078,0.015,,,,,,,,,
0.055,0.07,0.015,,,,,,,,,
0.047,0.058,0.011,,,,,,,,,
0.038,0.049,0.01,,,,,,,,,
0.033,0.041,0.008,,,,,,,,,
0.028,0.033,0.005,,,,,,,,,
0.02,0.025,0.005,,,,,,,,,
0.016,0.017,0.001,,,,,,,,,
0.009,0.009,0.0,,,,,,,,,
0.003,0.001,-0.002,,,,,,,,,
-0.002,-0.007,-0.005,,,,,,,,,
-0.01,-0.015,-0.005,,,,,,,,,
-0.01,-0.019,-0.009,,,,,,,,,
-0.014,-0.023,-0.01,,,,,,,,,
-0.012,-0.025,-0.013,,,,,,,,,
-0.004,-0.026,-0.022,,,,,,,,,
-0.005,-0.03,-0.025,,,,,,,,,
-0.002,-0.03,-0.028,,,,,,,,,
0.004,-0.032,-0.036,,,,,,,,,
-0.012,-0.055,-0.043,,,,,,,,,
-0.031,-0.077,-0.046,,,,,,,,,
-0.02,-0.07,-0.05,,,,,,,,,
-0.015,-0.069,-0.054,,,,,,,,,
-0.015,-0.07,-0.055,,,,,,,,,
-0.013,-0.07,-0.057,,,,,,,,,
-0.009,-0.07,-0.061,,,,,,,,,
-0.01,-0.07,-0.06,,,,,,,,,
-0.018,-0.07,-0.052,,,,,,,,,
-0.024,-0.07,-0.047,,,,,,,,,
-0.027,-0.07,-0.043,,,,,,,,,
-0.031,-0.07,-0.039,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.038,-0.07,-0.032,,,,,,,,,
-0.046,-0.07,-0.024,,,,,,,,,
-0.037,-0.07,-0.033,,,,,,,,,
-0.024,-0.07,-0.046,,,,,,,,,
-0.03,-0.07,-0.04,,,,,,,,,
-0.03,-0.07,-0.04,,,,,,,,,
-0.033,-0.07,-0.037,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.035,-0.07,-0.035,,,,,,,,,
-0.04,-0.07,-0.03,,,,,,,,,
-0.044,-0.07,-0.026,,,,,,,,,
-0.011,-0.07,-0.059,,,,,,,,,
0.005,-0.07,-0.075,,,,,,,,,
-0.014,-0.07,-0.056,,,,,,,,,
-0.02,-0.07,-0.05,,,,,,,,,
-0.028,-0.07,-0.042,,,,,,,,,
-0.033,-0.067,-0.034,,,,,,,,,
-0.038,-0.064,-0.027,,,,,,,,,
-0.048,-0.065,-0.017,,,,,,,,,
-0.055,-0.065,-0.01,,,,,,,,,
-0.04,-0.065,-0.025,,,,,,,,,
-0.023,-0.065,-0.042,,,,,,,,,
-0.021,-0.065,-0.044,,,,,,,,,
-0.026,-0.065,-0.039,,,,,,,,,
-0.025,-0.065,-0.04,,,,,,,,,
-0.021,-0.061,-0.04,,,,,,,,,
-0.02,-0.06,-0.04,,,,,,,,,
-0.02,-0.06,-0.04,,,,,,,,,
-0.02,-0.06,-0.04,,,,,,,,,
-0.02,-0.06,-0.04,,,,,,,,,
-0.02,-0.06,-0.04,,,,,,,,,
-0.023,-0.06,-0.037,,,,,,,,,
-0.026,-0.06,-0.034,,,,,,,,,
-0.024,-0.059,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.02,-0.055,-0.035,,,,,,,,,
-0.024,-0.055,-0.031,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.025,-0.055,-0.03,,,,,,,,,
-0.029,-0.055,-0.026,,,,,,,,,
-0.031,-0.055,-0.024,,,,,,,,,
