id,fs,sig_len
895056634,250,2500
900308235,250,2500
906806490,500,5000
920341605,250,2500
929873756,1025,10250
932446820,256,2560
937013638,500,5000
937503588,1025,10250
943839446,256,2560
946413478,1025,10250
947867923,1025,10250
950071314,500,5000
972085095,500,5000
975865200,500,5000
985469082,1025,10250
985749955,1000,10000
987816877,512,5120
994226251,256,2560
996604037,256,2560
1006427285,1025,10250
1006867983,256,2560
1012423188,256,2560
1015663939,1025,10250
1026034238,256,2560
1041099777,256,2560
1048962695,250,2500
1052007218,500,5000
1053922973,1000,10000
1059602762,1000,10000
1063816858,1025,10250
1067371646,512,5120
1067975047,512,5120
1068062585,512,5120
1072767337,500,5000
1079294623,500,5000
1084993373,512,5120
1086830824,1000,10000
1091894701,500,5000
1094825522,512,5120
1100434086,512,5120
1103133923,1000,10000
1103158012,1000,10000
1124135100,1000,10000
1135737846,256,2560
1142668792,1025,10250
1146155934,500,5000
1147589496,500,5000
1151562032,1025,10250
1154001412,500,5000
1154813853,250,2500
1158372875,1000,10000
1163641242,256,2560
1173521301,1000,10000
1174117563,500,5000
1177153463,512,5120
1178181553,250,2500
1183949786,500,5000
1189828070,1000,10000
1191130935,512,5120
1195437044,256,2560
1197069178,256,2560
1199125619,500,5000
1209416227,500,5000
1219936451,256,2560
1220748004,250,2500
1223595426,250,2500
1228736690,512,5120
1254751446,1000,10000
1257259783,512,5120
1259907878,1000,10000
1274262621,256,2560
1277179302,1000,10000
1278116713,250,2500
1280609341,500,5000
1281093472,250,2500
1289824484,1025,10250
1306725887,512,5120
1310031403,1025,10250
1312364803,1025,10250
1364705568,500,5000
1369067427,512,5120
1375500898,256,2560
1376451566,250,2500
1380849732,256,2560
1381006600,250,2500
1382137960,512,5120
1385441565,256,2560
1386861857,500,5000
1387453142,500,5000
1395556771,256,2560
1395637987,250,2500
1397514070,1000,10000
1402030662,250,2500
1404687891,250,2500
1411350094,1025,10250
1419593015,250,2500
1420515841,250,2500
1421059632,256,2560
1422666301,512,5120
1436234058,1000,10000
1441250561,1025,10250
1441897956,512,5120
1445349505,500,5000
1446634391,256,2560
1449491391,500,5000
1451074124,256,2560
1457768453,1025,10250
1467515776,256,2560
1475354244,512,5120
1481447856,512,5120
1484649389,512,5120
1484831977,500,5000
1490220713,256,2560
1492606769,500,5000
1502182655,250,2500
1502655579,1025,10250
1503423095,500,5000
1505370821,1000,10000
1509005816,250,2500
1512936796,1000,10000
1522477000,500,5000
1524001991,1025,10250
1531629157,1000,10000
1533451101,500,5000
1536586741,256,2560
1539510874,512,5120
1542217251,1000,10000
1553847883,500,5000
1555455483,500,5000
1556112478,512,5120
1557988993,1025,10250
1560009706,1025,10250
1561472702,256,2560
1562777197,250,2500
1587099637,256,2560
1589810571,500,5000
1590643291,1025,10250
1593926574,1000,10000
1602385852,256,2560
1617515072,250,2500
1618780264,500,5000
1623613765,512,5120
1626620456,256,2560
1630401449,1025,10250
1632590593,512,5120
1638509393,250,2500
1638532514,256,2560
1639217796,1000,10000
1643754023,250,2500
1644219523,1000,10000
1649759478,250,2500
1651876816,500,5000
1653260624,1025,10250
1657128463,512,5120
1659921138,1025,10250
1661642513,1025,10250
1662993511,1000,10000
1665441750,250,2500
1668094577,250,2500
1670304152,512,5120
1671648942,512,5120
1673456778,256,2560
1678324396,1000,10000
1683970273,250,2500
1692881983,256,2560
1696396696,1000,10000
1698943335,512,5120
1709636457,500,5000
1717124873,512,5120
1722454310,250,2500
1732081043,1000,10000
1734729516,1025,10250
1736488789,1000,10000
1739475663,512,5120
1742556603,256,2560
1746570786,1000,10000
1752267607,256,2560
1762299662,250,2500
1766417838,1000,10000
1769470316,500,5000
1771293531,500,5000
1774595133,250,2500
1774656418,500,5000
1779646665,1025,10250
1783318297,512,5120
1783777908,250,2500
1787792287,250,2500
1789763174,1025,10250
1789983060,1000,10000
1798516005,500,5000
1801481487,256,2560
1815763003,1000,10000
1815848373,256,2560
1818829830,500,5000
1833976046,250,2500
1841461559,512,5120
1849741174,256,2560
1856029567,1000,10000
1857740870,256,2560
1868006986,1000,10000
1875329380,250,2500
1881229866,250,2500
1883137811,512,5120
1886812982,512,5120
1889366355,250,2500
1890954897,1025,10250
1892490537,250,2500
1893309127,250,2500
1900639354,256,2560
1903158236,1025,10250
1907398397,512,5120
1919286802,500,5000
1922153793,1025,10250
1922265034,500,5000
1931150025,500,5000
1933191200,1000,10000
1938036943,250,2500
1948581413,512,5120
1949321289,256,2560
1951244635,250,2500
1953140023,512,5120
1962423499,512,5120
1972793559,500,5000
1987857200,250,2500
1993778600,500,5000
1998779717,1025,10250
2002854502,250,2500
2006667321,1025,10250
2008728390,1000,10000
2013781946,250,2500
2021850894,1025,10250
2022371381,256,2560
2023163309,256,2560
2023794418,250,2500
2036251685,1025,10250
2040854068,256,2560
2042290760,1000,10000
2042532735,256,2560
2043481531,500,5000
2044379808,512,5120
2054044752,1025,10250
2055953391,512,5120
2058553070,500,5000
2059782427,1025,10250
2061343120,1025,10250
2062750047,1000,10000
2063154718,500,5000
2064004115,1000,10000
2069796557,500,5000
2080106037,1000,10000
2082219639,1000,10000
2084535875,250,2500
2089312114,1025,10250
2092320860,1025,10250
2101175952,256,2560
2110921177,1025,10250
2112146939,256,2560
2114009967,512,5120
2114049422,1025,10250
2114687381,250,2500
2125192882,250,2500
2140273702,250,2500
2141644780,256,2560
2145817968,500,5000
2146465448,500,5000
2151281299,512,5120
2153013146,500,5000
2160317410,500,5000
2161704835,256,2560
2172544932,500,5000
2174365549,512,5120
2175424956,1000,10000
2179729742,250,2500
2191758832,250,2500
2202311598,250,2500
2204097623,250,2500
2207950404,1025,10250
2213807436,512,5120
2217825965,500,5000
2217920672,256,2560
2218907628,512,5120
2219724680,500,5000
2221052980,512,5120
2222328050,1025,10250
2228238180,512,5120
2229045325,256,2560
2233718066,1000,10000
2236932015,512,5120
2236982851,1025,10250
2238910940,1025,10250
2247761285,512,5120
2261781339,512,5120
2264751328,1025,10250
2275052032,500,5000
2275252873,256,2560
2280120893,1000,10000
2281127990,500,5000
2284764486,512,5120
2285765483,256,2560
2286359050,256,2560
2289894144,256,2560
2292156941,1025,10250
2295597388,1000,10000
2299138053,1000,10000
2304134029,250,2500
2309554015,256,2560
2322831046,1000,10000
2329182880,256,2560
2329664655,500,5000
2331005671,250,2500
2334335621,250,2500
2338722083,512,5120
2343972443,1025,10250
2352363003,512,5120
2352854581,1000,10000
2366174431,1025,10250
2368837031,1025,10250
2371149418,512,5120
2373805479,1025,10250
2378903027,512,5120
2383088737,250,2500
2391263838,500,5000
2392414702,512,5120
2416193378,512,5120
2416780172,250,2500
2422967768,250,2500
2429247379,256,2560
2439082509,512,5120
2446033601,512,5120
2450104795,256,2560
2450911060,1025,10250
2457447088,1000,10000
2461704588,500,5000
2465142537,512,5120
2469265231,256,2560
2469341854,500,5000
2469765263,512,5120
2479159356,512,5120
2485080710,500,5000
2496678414,250,2500
2496700414,500,5000
2504502933,1025,10250
2512496238,256,2560
2522220111,250,2500
2524174931,1025,10250
2530760008,1025,10250
2532840881,1025,10250
2536343690,1000,10000
2543132824,256,2560
2546276044,1025,10250
2549082880,250,2500
2566168201,1025,10250
2567450244,512,5120
2577369712,1025,10250
2584577211,256,2560
2587667307,1025,10250
2589114748,500,5000
2589643977,256,2560
2591785253,256,2560
2592207037,250,2500
2596280386,256,2560
2596413640,500,5000
2601579939,1000,10000
2609852752,512,5120
2617118433,1025,10250
2617381459,512,5120
2618626469,500,5000
2619769783,1025,10250
2628830113,1025,10250
2632734470,250,2500
2634228760,256,2560
2649950499,250,2500
2652765164,256,2560
2653902906,512,5120
2656943578,1025,10250
2659677149,500,5000
2662049656,1025,10250
2670980073,1000,10000
2685187099,1025,10250
2685679008,1000,10000
2688685037,500,5000
2690485796,1025,10250
2695654196,500,5000
2700749937,1000,10000
2711409608,512,5120
2717465297,1000,10000
2725753137,500,5000
2727522926,1000,10000
2729579623,1000,10000
2738115934,1000,10000
2738170268,250,2500
2745753781,500,5000
2757222712,256,2560
2763448387,1000,10000
2770658095,1000,10000
2779122924,250,2500
2780328047,250,2500
2794926446,1025,10250
2800037729,500,5000
2801392112,1000,10000
2806680157,250,2500
2806926781,256,2560
2811680168,500,5000
2818726012,1025,10250
2824353020,250,2500
2824462133,500,5000
2825768091,500,5000
2834786792,500,5000
2841936136,256,2560
2844084479,256,2560
2857661781,256,2560
2863521350,1000,10000
2873295579,1025,10250
2880394959,1025,10250
2891893300,250,2500
2897718844,512,5120
2898284117,256,2560
2900915301,512,5120
2932215077,512,5120
2932293710,250,2500
2933652299,256,2560
2943317089,256,2560
2952613248,1000,10000
2958306479,500,5000
2961498725,500,5000
2964699706,250,2500
2965683917,1000,10000
2971605936,1000,10000
2973085575,1000,10000
2973300569,256,2560
2981778984,500,5000
2984362129,1000,10000
2991598184,512,5120
2992726164,250,2500
2998088098,256,2560
3002700944,1025,10250
3005766039,1000,10000
3020375009,512,5120
3028446814,512,5120
3030244479,1000,10000
3032834773,1000,10000
3039759248,1025,10250
3041779288,500,5000
3042142152,512,5120
3051591599,512,5120
3056263433,500,5000
3066480297,256,2560
3070536901,1000,10000
3071846840,512,5120
3080195423,500,5000
3088924592,256,2560
3102676225,256,2560
3110017734,250,2500
3110635653,1000,10000
3110772881,1025,10250
3117803201,250,2500
3117857513,1000,10000
3121342163,500,5000
3122065876,250,2500
3123075706,1000,10000
3131440931,512,5120
3137394949,512,5120
3153824105,1000,10000
3165279151,256,2560
3166474998,1025,10250
3171802157,250,2500
3174963235,1025,10250
3182381560,250,2500
3183930880,250,2500
3191080289,256,2560
3198667889,250,2500
3199374928,512,5120
3201760749,250,2500
3203822582,500,5000
3203879791,512,5120
3205098149,256,2560
3205191220,1025,10250
3206606655,1000,10000
3208143065,1000,10000
3216270178,256,2560
3228160304,250,2500
3230313767,250,2500
3234049788,256,2560
3237068156,500,5000
3238781612,512,5120
3240145691,250,2500
3240960027,1025,10250
3246341876,512,5120
3252330571,512,5120
3253377702,500,5000
3254266514,1000,10000
3267417662,1025,10250
3268966894,1000,10000
3275080079,500,5000
3286023290,500,5000
3288873781,512,5120
3298904542,256,2560
3300240206,1025,10250
3304771430,256,2560
3309333212,512,5120
3316191408,512,5120
3319357377,250,2500
3326415034,512,5120
3329696723,256,2560
3337580882,500,5000
3350746581,1000,10000
3353541544,1025,10250
3355417892,512,5120
3356121866,1025,10250
3356129059,256,2560
3365530297,1000,10000
3366358434,256,2560
3372605260,256,2560
3374430435,250,2500
3378387616,1025,10250
3380034396,1025,10250
3393701554,512,5120
3394549140,256,2560
3405310076,1000,10000
3406869873,1000,10000
3410728571,256,2560
3411364587,1025,10250
3415935127,256,2560
3416052400,1025,10250
3421310019,500,5000
3423415730,1000,10000
3425814467,250,2500
3429870902,250,2500
3434428361,512,5120
3436866334,256,2560
3444273312,512,5120
3446730127,256,2560
3451118512,1025,10250
3451522192,512,5120
3452937405,512,5120
3453711744,512,5120
3461422108,1025,10250
3461874046,256,2560
3472517758,500,5000
3479008311,1025,10250
3479460996,1025,10250
3483101651,1000,10000
3485592327,1025,10250
3487334519,250,2500
3504183759,1025,10250
3511927436,500,5000
3515220717,512,5120
3519229852,256,2560
3519410086,1000,10000
3523783811,1000,10000
3527103465,512,5120
3536504009,500,5000
3536701389,1025,10250
3542724905,512,5120
3543131817,512,5120
3543481279,512,5120
3547378375,500,5000
3554875690,500,5000
3559815553,1025,10250
3563585176,1000,10000
3567245767,250,2500
3574065245,256,2560
3574249147,256,2560
3590020869,500,5000
3591987991,1025,10250
3606857400,512,5120
3607942876,256,2560
3608487563,500,5000
3615951423,250,2500
3626416640,256,2560
3628654192,1000,10000
3629280863,256,2560
3633367021,1000,10000
3637404650,1025,10250
3639847430,500,5000
3646474561,256,2560
3646789790,512,5120
3647122251,500,5000
3647678944,256,2560
3657702924,1000,10000
3676566153,1000,10000
3679143616,1000,10000
3682562936,1025,10250
3685242994,250,2500
3687073465,1000,10000
3693876451,1025,10250
3693879792,500,5000
3703775261,1000,10000
3707500064,500,5000
3721199990,1025,10250
3726383111,1000,10000
3728731089,250,2500
3731503567,1025,10250
3732607929,512,5120
3735334199,512,5120
3737055236,500,5000
3753632017,250,2500
3754781958,1000,10000
3761368120,250,2500
3765046489,250,2500
3772811078,1000,10000
3775310332,250,2500
3777021393,500,5000
3780045249,1025,10250
3782043851,512,5120
3793512560,1025,10250
3793798829,256,2560
3802913134,1025,10250
3804618087,1000,10000
3808911155,256,2560
3816225489,250,2500
3817422149,256,2560
3817987033,512,5120
3818475389,500,5000
3823160274,512,5120
3828947205,250,2500
3829918836,256,2560
3836654276,1000,10000
3838238475,1025,10250
3838889611,1000,10000
3840395888,250,2500
3848961967,250,2500
3850187418,1025,10250
3851138087,256,2560
3863689498,1025,10250
3871909495,250,2500
3879757040,1000,10000
3881614479,500,5000
3887070094,250,2500
3891898599,1025,10250
3893252602,256,2560
3893290252,250,2500
3893533239,512,5120
3903047348,1025,10250
3903568293,1000,10000
3908686830,1025,10250
3912116336,250,2500
3914789905,256,2560
3917626689,1025,10250
3918733927,1000,10000
3918873626,1000,10000
3920536830,256,2560
3925211815,512,5120
3926202474,256,2560
3930904435,500,5000
3932812326,250,2500
3938971616,250,2500
3944034484,512,5120
3944858755,1025,10250
3944898701,512,5120
3956089391,500,5000
3960796436,1000,10000
3962635978,512,5120
3963055797,500,5000
3975992495,256,2560
3977112938,1000,10000
3987607317,1000,10000
3988029399,1000,10000
3994295052,1000,10000
3998442397,250,2500
4001248112,1025,10250
4006376611,512,5120
4008020490,250,2500
4012861469,500,5000
4019229265,256,2560
4020997625,256,2560
4027795251,250,2500
4033376048,1025,10250
4034587499,1025,10250
4038147207,512,5120
4040691412,250,2500
4049828212,1025,10250
4050029009,512,5120
4050367691,512,5120
4059432402,500,5000
4062277091,1000,10000
4065865612,512,5120
4066709567,500,5000
4072460642,512,5120
4073136313,256,2560
4079781180,1025,10250
4080099045,250,2500
4081571407,256,2560
4084535424,256,2560
4087968066,500,5000
4092807213,1025,10250
4092829108,500,5000
4099267973,500,5000
4100470049,500,5000
4106485526,512,5120
4108216341,1025,10250
4110346522,500,5000
4112813048,512,5120
4116376339,512,5120
4127428244,512,5120
4127436575,1000,10000
4133314882,1000,10000
4134032826,1000,10000
4138876976,1000,10000
4146512364,500,5000
4150465250,500,5000
4153051887,250,2500
4158447123,1000,10000
4159686985,500,5000
4161619254,1000,10000
4163234727,1025,10250
4166392674,512,5120
4167272924,1025,10250
4172105788,1025,10250
4178620257,500,5000
4182272849,512,5120
4187876670,512,5120
4204675127,1000,10000
4208757201,512,5120
4209093254,250,2500
4211091537,256,2560
4213040823,1000,10000
4213328030,256,2560
4215966477,1025,10250
4220837898,1025,10250
4225377454,250,2500
4229829773,500,5000
4237365945,1025,10250
4238163923,512,5120
4241274306,1025,10250
4241504508,500,5000
4246336200,1025,10250
4246414264,256,2560
4247903125,1000,10000
4248012126,256,2560
4252536500,1000,10000
4258114671,500,5000
4260231863,250,2500
4262625464,1025,10250
4267219232,1025,10250
4268378929,250,2500
4268977943,256,2560
4274554399,250,2500
4275164612,512,5120
4277304092,250,2500
4277555223,1000,10000
4283871417,256,2560
4284351157,512,5120
4289880010,500,5000
4292118763,512,5120
